label|kind|run|completion_tokens|decode_tok_s|wall_ms|hw
qwen35-4b-mlx|mlx-serve|1|128|18.5|7203|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|2|128|19.2|6761|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|3|128|19.0|6862|Apple-M4-16gb
gemma4-e4b|mlx-serve|1|128|29.1|4620|Apple-M4-16gb
gemma4-e4b|mlx-serve|2|128|29.3|4518|Apple-M4-16gb
gemma4-e4b|mlx-serve|3|128|29.4|4502|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|1|128|28.5|4572|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|2|128|29.1|4437|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|3|128|29.2|4436|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|1|128|24.3|5263|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|2|128|24.6|5210|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|3|128|24.5|5226|Apple-M4-16gb
