label|kind|run|completion_tokens|decode_tok_s|wall_ms|hw
qwen35-4b-mlx|mlx-serve|1|128|37.56|3408|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|2|128|37.41|3422|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|1|127|33.57|3783|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|2|127|33.88|3749|Apple-M4-16gb
gemma4-e4b|mlx-serve|1|128|33.45|3827|Apple-M4-16gb
gemma4-e4b|mlx-serve|2|128|33.25|3850|Apple-M4-16gb
gemma4-e4b|lmstudio|1|127|20.47|6204|Apple-M4-16gb
gemma4-e4b|lmstudio|2|127|20.69|6139|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|1|128|28.47|4496|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|2|128|28.71|4458|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|1|128|26.44|4842|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|2|128|26.26|4875|Apple-M4-16gb
