label|kind|run|prompt_n|cached_n|prompt_ms|wall_ms|hw
qwen35-4b-mlx|mlx-serve|1|1325|0|3406.559|3676|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|2|1325|1324|31.66|325|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|3|1325|1324|31.377|289|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|4|1325|1324|30.619|286|Apple-M4-16gb
qwen35-4b-mlx|mlx-serve|5|1325|1324|30.963|306|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|1|1323|0|0|3669|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|2|1323|0|0|532|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|3|1323|0|0|549|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|4|1323|0|0|534|Apple-M4-16gb
qwen35-4b-mlx|lmstudio|5|1323|0|0|561|Apple-M4-16gb
gemma4-e4b|mlx-serve|1|1222|0|1935.565|2362|Apple-M4-16gb
gemma4-e4b|mlx-serve|2|1222|1221|36.301|756|Apple-M4-16gb
gemma4-e4b|mlx-serve|3|1222|1221|34.341|464|Apple-M4-16gb
gemma4-e4b|mlx-serve|4|1222|1221|33.266|453|Apple-M4-16gb
gemma4-e4b|mlx-serve|5|1222|1221|33.997|468|Apple-M4-16gb
gemma4-e4b|lmstudio|1|1222|0|0|2624|Apple-M4-16gb
gemma4-e4b|lmstudio|2|1222|0|0|668|Apple-M4-16gb
gemma4-e4b|lmstudio|3|1222|0|0|681|Apple-M4-16gb
gemma4-e4b|lmstudio|4|1222|0|0|650|Apple-M4-16gb
gemma4-e4b|lmstudio|5|1222|0|0|658|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|1|1325|0|2636.759|3736|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|2|1325|1324|0.745|333|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|3|1325|1324|0.795|334|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|4|1325|1324|0.774|368|Apple-M4-16gb
qwen35-4b-gguf|mlx-serve|5|1325|1324|0.768|333|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|1|1325|0|0|3877|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|2|1325|0|0|455|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|3|1325|0|0|434|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|4|1325|0|0|443|Apple-M4-16gb
qwen35-4b-gguf|lmstudio|5|1325|0|0|447|Apple-M4-16gb
