label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|579.8|0|850|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|32.2|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|28.9|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|30.1|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|prefill|582.5|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|decode|0|30.4|26|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|echo|0|50.7|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|code|0|30.5|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|prefill|560.6|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|decode|0|30.5|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|echo|0|44.4|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|code|0|44.4|194|131|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|605.0|0|850|1|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|32.0|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|28.7|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|29.6|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|prefill|524.3|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|decode|0|20.5|26|127|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|echo|0|19.1|143|82|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|code|0|19.6|194|127|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|prefill|349.9|0|850|1|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|decode|0|24.8|26|128|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|echo|0|22.3|143|89|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|code|0|23.1|193|128|Apple-M4-16gb|
