label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|583.7|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|32.8|26|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|29.5|142|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|30.8|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|prefill|574.2|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|decode|0|31.3|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|echo|0|50.4|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|code|0|30.9|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|prefill|565.2|0|850|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|decode|0|31.2|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|echo|0|44.0|143|81|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|code|0|47.3|194|129|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve-gguf/none|mlx-serve|/Volumes/Sandisk_1TB/Models/lmstudio-community/gemma-4-E4B-it-GGUF/gemma-4-E4B-it-Q4_K_M.gguf|none|prefill|367.0|0|850|1|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve-gguf/none|mlx-serve|/Volumes/Sandisk_1TB/Models/lmstudio-community/gemma-4-E4B-it-GGUF/gemma-4-E4B-it-Q4_K_M.gguf|none|decode|0|28.2|26|128|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve-gguf/none|mlx-serve|/Volumes/Sandisk_1TB/Models/lmstudio-community/gemma-4-E4B-it-GGUF/gemma-4-E4B-it-Q4_K_M.gguf|none|echo|0|25.1|141|88|Apple-M4-16gb|
gemma4-e4b-4bit/mlx-serve-gguf/none|mlx-serve|/Volumes/Sandisk_1TB/Models/lmstudio-community/gemma-4-E4B-it-GGUF/gemma-4-E4B-it-Q4_K_M.gguf|none|code|0|25.7|192|128|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|604.8|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|32.4|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|29.2|142|81|Apple-M4-16gb|
gemma4-e4b-4bit/omlx/none|omlx|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|30.0|194|128|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|prefill|526.0|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|decode|0|20.5|27|127|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|echo|0|19.1|142|82|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it-mlx|none|code|0|19.6|193|127|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|prefill|348.8|0|851|1|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|decode|0|24.6|27|128|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|echo|0|22.3|142|89|Apple-M4-16gb|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|gemma-4-e4b-it|none|code|0|23.0|194|128|Apple-M4-16gb|
