engine|format|run|kind|prompt_n|cached_n|prompt_ms|wall_ms|decode_tps|hw
mlx-serve|MLX-4bit|1|ttft|1222|0|1967.002|2517|21.097|Apple-M4-16gb
mlx-serve|MLX-4bit|2|ttft|1222|1221|51.921|487|20.479|Apple-M4-16gb
mlx-serve|MLX-4bit|3|ttft|1222|1221|49.634|459|20.815|Apple-M4-16gb
mlx-serve|MLX-4bit|4|ttft|1222|1221|51.743|468|20.359|Apple-M4-16gb
mlx-serve|MLX-4bit|5|ttft|1222|1221|50.679|466|20.399|Apple-M4-16gb
mlx-serve|MLX-4bit|1|decode|1222|1221|51.208|1683|19.441|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|1|ttft|1221|0|2958.778|3877|9.001|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|2|ttft|1221|1220|1.067|327|28.32|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|3|ttft|1221|1220|1.088|320|28.166|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|4|ttft|1221|1220|1.065|340|27.241|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|5|ttft|1221|1220|1.078|316|27.702|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|1|decode|1221|1220|1.053|962|26.713|Apple-M4-16gb
mlx-lm|MLX-4bit|1|ttft|0|0|0|15939|0|Apple-M4-16gb
mlx-lm|MLX-4bit|1|decode|0|0|0|15939|0|Apple-M4-16gb
lmstudio|MLX-4bit|1|ttft|1222|0|0|2551|0|Apple-M4-16gb
lmstudio|MLX-4bit|2|ttft|1222|0|0|655|0|Apple-M4-16gb
lmstudio|MLX-4bit|3|ttft|1222|0|0|671|0|Apple-M4-16gb
lmstudio|MLX-4bit|4|ttft|1222|0|0|667|0|Apple-M4-16gb
lmstudio|MLX-4bit|5|ttft|1222|0|0|670|0|Apple-M4-16gb
lmstudio|MLX-4bit|1|decode|1222|0|0|1792|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|1|ttft|1222|0|0|3719|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|2|ttft|1222|0|0|400|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|3|ttft|1222|0|0|401|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|4|ttft|1222|0|0|388|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|5|ttft|1222|0|0|402|0|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|1|decode|1222|0|0|1529|0|Apple-M4-16gb
