engine|format|metric|value|prompt_n|hw
mlx-serve|MLX-4bit|ttft_cold_ms|2682|1222|Apple-M4-16gb
mlx-serve|MLX-4bit|ttft_warm_median_ms|478.000|1222|Apple-M4-16gb
mlx-serve|MLX-4bit|decode_tps|19.15|1222|Apple-M4-16gb
mlx-serve|MLX-4bit|prefill_tps_cold|587.38|1222|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|ttft_cold_ms|4067|1221|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|ttft_warm_median_ms|318.000|1221|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|decode_tps|26.44|1221|Apple-M4-16gb
mlx-serve|GGUF-Q4_K_M|prefill_tps_cold|388.49|1221|Apple-M4-16gb
mlx-lm|MLX-4bit|ttft_cold_ms|2398|1229|Apple-M4-16gb
mlx-lm|MLX-4bit|ttft_warm_median_ms|0|1229|Apple-M4-16gb
mlx-lm|MLX-4bit|decode_tps|21.324|1229|Apple-M4-16gb
mlx-lm|MLX-4bit|prefill_tps_cold|607.432|1229|Apple-M4-16gb
lmstudio|MLX-4bit|ttft_cold_ms|2552|1222|Apple-M4-16gb
lmstudio|MLX-4bit|ttft_warm_median_ms|648.500|1222|Apple-M4-16gb
lmstudio|MLX-4bit|decode_tps|19.76|1222|Apple-M4-16gb
lmstudio|MLX-4bit|prefill_tps_cold|569.13|1222|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|ttft_cold_ms|3724|1222|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|ttft_warm_median_ms|374.500|1222|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|decode_tps|24.72|1222|Apple-M4-16gb
lmstudio|GGUF-Q4_K_M|prefill_tps_cold|359.37|1222|Apple-M4-16gb
