label|kind|model|scenario|run|prompt_n|cached_n|prompt_ms|prompt_tok_s|wall_ms|hw|notes
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|1|733|0|1909.538|383.863|2078|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|2|733|0|1863.177|393.414|2000|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_first|1|499|0|1329.062|375.453|1497|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat2|2|499|498|30.284|33.02|167|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat3|3|499|0|1299.588|383.968|1435|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat4|4|499|498|28.326|35.303|162|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|cold|1|732|0|0|0|2183|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|cold|2|732|0|0|0|2149|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_first|1|497|0|0|0|1681|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat2|2|497|0|0|0|395|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat3|3|497|0|0|0|402|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|warm_repeat4|4|497|0|0|0|403|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|1|731|0|1132.491|645.48|1324|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|2|730|0|1133.384|644.089|1320|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_first|1|496|0|788.986|628.655|961|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat2|2|496|495|33.122|30.191|199|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat3|3|496|495|32.365|30.898|202|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat4|4|496|495|32.694|30.587|202|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|cold|1|730|0|0|0|1626|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|cold|2|731|0|0|0|1607|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_first|1|496|0|0|0|1194|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat2|2|496|0|0|0|389|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat3|3|496|0|0|0|401|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat4|4|496|0|0|0|405|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|1|735|0|1651.566|445.032|2330|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|2|735|0|1338.394|549.166|2010|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_first|1|499|0|43.193|11552.92|1475|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat2|2|499|498|0.799|1252.348|167|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat3|3|499|498|0.752|1329.566|176|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat4|4|499|498|0.775|1289.837|170|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|1|734|0|0|0|2064|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|2|735|0|0|0|2071|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_first|1|499|0|0|0|1514|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat2|2|499|0|0|0|272|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat3|3|499|0|0|0|263|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat4|4|499|0|0|0|282|Apple-M4-16gb|
