label|kind|model|scenario|run|prompt_n|cached_n|prompt_ms|prompt_tok_s|wall_ms|hw|notes
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|1|734|0|1919.477|382.396|2062|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|cold|2|734|0|1924.1|381.477|2094|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_first|1|499|0|1355.887|368.025|1539|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat2|2|499|498|34.085|29.338|192|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat3|3|499|498|33.91|29.489|199|Apple-M4-16gb|
qwen35-4b-mlx|mlx-serve|/Volumes/Sandisk_1TB/Models/mlx-community/Qwen3.5-4B-MLX-4bit|warm_repeat4|4|499|498|36.186|27.635|199|Apple-M4-16gb|
qwen35-4b-mlx|lmstudio|qwen3.5-4b-mlx|cold|1|732|0|0|0|2476|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|1|731|0|1906.101|383.505|2563|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|cold|2|731|0|1162.907|628.597|1326|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_first|1|496|0|970.38|511.14|1274|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat2|2|496|495|125.186|7.988|764|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat3|3|496|495|184.363|5.424|1000|Apple-M4-16gb|
gemma4-e4b|mlx-serve|/Users/david/.mlx-serve/models/gemma-4-e4b-it-4bit|warm_repeat4|4|496|495|33.253|30.072|463|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_first|1|496|0|0|0|1190|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat2|2|496|0|0|0|443|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat3|3|496|0|0|0|416|Apple-M4-16gb|
gemma4-e4b|lmstudio|gemma-4-e4b-it-mlx|warm_repeat4|4|496|0|0|0|418|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|1|734|0|2392.918|306.738|3123|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|cold|2|734|0|1337.244|548.89|2007|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_first|1|499|0|44.476|11219.419|1476|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat2|2|499|498|0.789|1267.294|177|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat3|3|499|498|0.774|1291.713|173|Apple-M4-16gb|
qwen35-4b-gguf|mlx-serve|/Volumes/Sandisk_1TB/Models/unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-IQ4_NL.gguf|warm_repeat4|4|499|498|1.353|738.871|190|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|1|735|0|0|0|2056|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|cold|2|735|0|0|0|2080|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_first|1|499|0|0|0|1514|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat2|2|499|0|0|0|266|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat3|3|499|0|0|0|260|Apple-M4-16gb|
qwen35-4b-gguf|lmstudio|qwen3.5-4b|warm_repeat4|4|499|0|0|0|282|Apple-M4-16gb|
