label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
qwen36-27b/lmstudio-baseline/none|lmstudio|qwen3.6-27b|none|prefill|242.4|0|882|1|Apple-M4-Max-128gb|
qwen36-27b/lmstudio-baseline/none|lmstudio|qwen3.6-27b|none|decode|0|30.4|0|127|Apple-M4-Max-128gb|thinking_leaked=187
qwen36-27b/lmstudio-baseline/none|lmstudio|qwen3.6-27b|none|echo|0|29.9|0|127|Apple-M4-Max-128gb|thinking_leaked=252
qwen36-27b/lmstudio-baseline/none|lmstudio|qwen3.6-27b|none|code|0|29.5|0|127|Apple-M4-Max-128gb|thinking_leaked=204
qwen36-27b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|mtp|prefill|233.5|0|854|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|mtp|decode|0|40.1|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|mtp|echo|0|58.7|0|88|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|mtp|code|0|58.4|0|129|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|prefill|234.5|0|854|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|decode|0|29.2|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|echo|0|28.9|0|86|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|code|0|29.0|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|prefill|234.8|0|854|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|decode|0|28.8|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|echo|0|63.5|0|86|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|code|0|30.3|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b|none|prefill|1276.4|0|882|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b|none|decode|0|103.2|0|127|Apple-M4-Max-128gb|thinking_leaked=128
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b|none|echo|0|103.0|0|127|Apple-M4-Max-128gb|thinking_leaked=228
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b|none|code|0|103.0|0|127|Apple-M4-Max-128gb|thinking_leaked=230
qwen36-35b-a3b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|mtp|prefill|1462.3|0|854|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|mtp|decode|0|135.9|0|130|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|mtp|echo|0|185.6|0|88|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/mtp|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|mtp|code|0|175.1|0|130|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|prefill|1498.2|0|854|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|decode|0|131.3|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|echo|0|130.0|0|86|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|code|0|130.7|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|prefill|1478.3|0|853|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|decode|0|125.3|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|echo|0|238.8|0|86|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|code|0|140.4|0|128|Apple-M4-Max-128gb|
